Longitude,Latitude,State Code,County Code,Site Num,Parameter Code,POC,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change
-85.3232,34.2605,13,115,3,88502,3,NAD83,Acceptable PM2.5 AQI & Speciation Mass,1 HOUR,,Observed Values,PM2.5 SCC w/No Correction Factor - TEOM Gravimetric 30 deg C,2023,Micrograms/cubic meter (LC),No Events,7734,88,Y,322,365,0,1026,,,Certification not required,0,8.99285,8.409237,122,2/19/2023 19:00,88.1,10/10/2023 22:00,81.9,3/21/2023 4:00,80,3/21/2023 3:00,,,,,38.3,29.8,22.9,18.4,12.6,7.7,0.6,Rome,"5041 ALABAMA HWY., ROME, GA 30165",Georgia,Floyd,,"Rome, GA",6/14/2024
-84.357316,33.720742,13,121,55,88502,3,NAD83,Acceptable PM2.5 AQI & Speciation Mass,1 HOUR,,Observed Values,PM2.5 SCC w/No Correction Factor - TEOM Gravimetric 30 deg C,2023,Micrograms/cubic meter (LC),No Events,7303,83,Y,303,365,0,1457,,,Certification not required,0,8.886978,7.249323,76.8,7/5/2023 1:00,74.7,7/4/2023 22:00,73.3,7/5/2023 0:00,66,7/4/2023 23:00,,,,,36.3,26.7,20.3,16.5,12.1,7.8,1.7,United Avenue,"945 East United Ave., Atlanta, Georgia, 30316",Georgia,Fulton,Atlanta,"Atlanta-Sandy Springs-Roswell, GA",6/14/2024
-84.3914,33.7784,13,121,56,88502,3,NAD83,Acceptable PM2.5 AQI & Speciation Mass,1 HOUR,,Observed Values,Multiple Methods Used,2023,Micrograms/cubic meter (LC),No Events,7919,90,Y,323,365,0,841,,,Certification not required,0,10.194671,7.05668,55.5,7/18/2023 10:00,54.6,7/18/2023 9:00,53.9,7/4/2023 23:00,53.9,7/18/2023 6:00,,,,,32.8,27.8,22.8,19,13.6,9.1,2.7,NR-GA Tech,"Georgia Institute of Technology, 6th Street and I-75, Atlanta, GA 30313",Georgia,Fulton,Atlanta,"Atlanta-Sandy Springs-Roswell, GA",6/14/2024
-84.161811,33.433949,13,151,2,88502,3,NAD83,Acceptable PM2.5 AQI & Speciation Mass,1 HOUR,,Observed Values,PM2.5 SCC w/No Correction Factor - TEOM Gravimetric 30 deg C,2023,Micrograms/cubic meter (LC),No Events,8543,98,Y,354,365,0,217,,,Certification not required,0,8.340442,6.996247,115,7/18/2023 23:00,82.9,7/19/2023 0:00,70.5,7/18/2023 22:00,67.5,7/18/2023 11:00,,,,,32.8,25.7,20.3,15.8,11.2,7.1,1.6,McDonough,"Blessings Thrift Store, 86 Work Camp Road, McDonough, Georgia, 30253",Georgia,Henry,McDonough,"Atlanta-Sandy Springs-Roswell, GA",6/14/2024
-116.347853,43.600699,16,1,10,88502,7,WGS84,Acceptable PM2.5 AQI & Speciation Mass,1 HOUR,,Observed Values,Met-one BAM-1022 W/PM2.5 SCC - Beta Attenuation,2023,Micrograms/cubic meter (LC),No Events,8647,99,Y,361,365,0,113,,,Certification not required,0,5.940951,7.920047,335.1,7/4/2023 23:00,334.8,7/5/2023 0:00,228.5,7/5/2023 1:00,195.5,7/4/2023 22:00,,,,,23.9,20.5,15.4,11.8,7.7,4.8,0.9,Meridian - St. Luke's,"520 S. EAGLE ROAD,  MERIDIAN",Idaho,Ada,,"Boise City, ID",5/20/2024
-116.214563,43.647667,16,1,20,88502,3,WGS84,Acceptable PM2.5 AQI & Speciation Mass,1 HOUR,,Observed Values,Met-One BAM-1020 W/PM2.5 SCC - Beta Attenuation,2023,Micrograms/cubic meter (LC),No Events,8543,98,Y,352,365,0,217,,,Certification not required,0,5.582114,11.544799,893,10/1/2023 7:00,183,7/4/2023 22:00,149,7/4/2023 21:00,93,7/5/2023 1:00,,,,,25,22,17,13,7,4,0,"ADA COUNTY FAIRGROUNDS, ACROSS INTERSECTION OF ALWORTH AND LORIMAR",ADA COUNTY FAIRGROUNDS,Idaho,Ada,Boise (corporate name Boise City),"Boise City, ID",5/20/2024
-112.460347,42.876725,16,5,15,88502,4,WGS84,Acceptable PM2.5 AQI & Speciation Mass,1 HOUR,,Observed Values,Met-One BAM-1020 W/PM2.5 SCC - Beta Attenuation,2023,Micrograms/cubic meter (LC),No Events,8302,95,Y,344,365,0,458,,,Certification not required,0,4.668152,6.499365,119,2/17/2023 6:00,113,2/12/2023 11:00,110,2/17/2023 9:00,94,11/29/2023 9:00,,,,,27,22,15,10,6,3,0,Pocatello - Garrett and Gould,G&G/CORNER OF GARRET & GOULD,Idaho,Bannock,Pocatello,"Pocatello, ID",5/20/2024
-116.571281,47.316577,16,9,10,88502,3,WGS84,Acceptable PM2.5 AQI & Speciation Mass,1 HOUR,,Observed Values,Met-One BAM-1020 W/PM2.5 SCC - Beta Attenuation,2023,Micrograms/cubic meter (LC),No Events,8584,98,Y,359,365,0,176,,,Certification not required,0,10.756873,11.488687,308,1/25/2023 15:00,122,8/19/2023 18:00,118,8/19/2023 19:00,115,8/19/2023 22:00,,,,,52,44,32,23,13,7,2,St. Maries,"USFS AT 9TH AND CENTER, St. Maries, Idaho",Idaho,Benewah,,,5/20/2024
-114.371267,43.6825,16,13,4,88502,4,WGS84,Acceptable PM2.5 AQI & Speciation Mass,1 HOUR,,Observed Values,Met-One BAM-1020 W/PM2.5 SCC - Beta Attenuation,2023,Micrograms/cubic meter (LC),No Events,7931,91,Y,330,365,0,829,,,Certification not required,0,3.760055,3.736234,33,12/27/2023 20:00,31,1/31/2023 21:00,31,5/22/2023 0:00,31,12/21/2023 19:00,,,,,19,15,10,7,5,3,0,Ketchum,"111 West 8th Street, Ketchum",Idaho,Blaine,Ketchum,"Hailey, ID",5/20/2024
-115.8395,43.82291,16,15,1,88502,4,WGS84,Acceptable PM2.5 AQI & Speciation Mass,1 HOUR,,Observed Values,Met-One BAM-1020 W/PM2.5 SCC - Beta Attenuation,2023,Micrograms/cubic meter (LC),No Events,8637,99,Y,360,365,0,123,,,Certification not required,0,7.527614,7.044314,67,5/19/2023 19:00,65,5/4/2023 8:00,63,9/15/2023 9:00,60,4/28/2023 23:00,,,,,33,27,22,17,10,6,1,Idaho City,"3851 HIGHWAY 21, IDAHO CITY",Idaho,Boise,,"Boise City, ID",5/20/2024
-115.972386,44.104498,16,15,2,88502,4,WGS84,Acceptable PM2.5 AQI & Speciation Mass,1 HOUR,,Observed Values,Met-One BAM-1020 W/PM2.5 SCC - Beta Attenuation,2023,Micrograms/cubic meter (LC),No Events,8652,99,Y,361,365,0,108,,,Certification not required,0,6.075589,5.642251,120,7/4/2023 22:00,78,7/4/2023 20:00,64,10/16/2023 23:00,58,8/19/2023 8:00,,,,,25,22,16,12,8,5,1,Garden Valley,946 BANKS LOWMAN ROAD,Idaho,Boise,,"Boise City, ID",5/20/2024
-116.556656,48.292141,16,17,3,88502,3,WGS84,Acceptable PM2.5 AQI & Speciation Mass,1 HOUR,,Observed Values,Met-One BAM-1020 W/PM2.5 SCC - Beta Attenuation,2023,Micrograms/cubic meter (LC),No Events,3048,99,Y,127,128,0,11,,,Certification not required,0,6.070538,4.805909,101,4/27/2023 19:00,49,1/3/2023 12:00,39,1/3/2023 13:00,32,4/28/2023 18:00,,,,,20,18,14,12,8,5,1,Sandpoint,2105 NORTH BOYER AVENUE,Idaho,Bonner,Sandpoint,"Sandpoint, ID",5/20/2024
-116.569,48.272,16,17,6,88502,3,WGS84,Acceptable PM2.5 AQI & Speciation Mass,1 HOUR,,Observed Values,Met-One BAM-1020 W/PM2.5 SCC - Beta Attenuation,2023,Micrograms/cubic meter (LC),No Events,5586,98,Y,232,238,0,111,,,Certification not required,0,9.516828,15.721883,277,8/19/2023 9:00,263,8/19/2023 10:00,263,8/19/2023 11:00,250,8/19/2023 8:00,,,,,60,43,28,18,11,6,1,Sandpoint,310 S. Division Avenue,Idaho,Bonner,Sandpoint,"Sandpoint, ID",5/20/2024
-112.04645,43.4647,16,19,11,88502,4,WGS84,Acceptable PM2.5 AQI & Speciation Mass,1 HOUR,,Observed Values,Multiple Methods Used,2023,Micrograms/cubic meter (LC),No Events,8339,95,Y,348,365,0,278,,,Certification not required,0,4.95015,5.267976,107,7/7/2023 16:00,103,5/20/2023 15:00,98,5/21/2023 15:00,69,6/25/2023 14:00,,,,,22,17,13,10,7,4.1,0,Idaho Falls,"HICKORY AND SYCAMORE ST, IDAHO FALLS",Idaho,Bonneville,Idaho Falls,"Idaho Falls, ID",5/20/2024
-116.562676,43.58031,16,27,2,88502,3,WGS84,Acceptable PM2.5 AQI & Speciation Mass,1 HOUR,,Observed Values,Met-One BAM-1020 W/PM2.5 SCC - Beta Attenuation,2023,Micrograms/cubic meter (LC),No Events,2572,98,Y,107,109,0,27,,,Certification not required,0,5.598367,5.108322,56,1/21/2023 17:00,54,2/4/2023 17:00,53,1/21/2023 18:00,39,2/12/2023 3:00,,,,,24,21,16,11,7,4,1,Nampa - Fire Station,NAMPA FIRE STN/923 1ST ST,Idaho,Canyon,Nampa,"Boise City, ID",5/20/2024
-116.52924,43.59946,16,27,10,88502,3,WGS84,Acceptable PM2.5 AQI & Speciation Mass,1 HOUR,,Observed Values,Met-One BAM-1020 W/PM2.5 SCC - Beta Attenuation,2023,Micrograms/cubic meter (LC),No Events,6040,98,Y,251,257,0,113,,,Certification not required,0,7.412086,6.346162,170,7/4/2023 23:00,110,7/5/2023 0:00,100,7/4/2023 22:00,41,8/29/2023 16:00,,,,,28,25,19,15,9,6,2,Nampa - Ridgecrest,3730 Ridgecrest Drive,Idaho,Canyon,Nampa,"Boise City, ID",5/20/2024
-111.864167,42.082222,16,41,2,88502,3,WGS84,Acceptable PM2.5 AQI & Speciation Mass,1 HOUR,,Observed Values,Met-One BAM-1020 W/PM2.5 SCC - Beta Attenuation,2023,Micrograms/cubic meter (LC),No Events,8635,99,Y,359,365,0,125,,,Certification not required,0,5.686624,7.166927,88,10/26/2023 0:00,77,2/5/2023 6:00,77,2/5/2023 13:00,75,2/4/2023 19:00,,,,,37,25,16,12,7,4,1,Preston,PRESTON JR. HIGH - 450 E. VALLEY VIEW DRIVE,Idaho,Franklin,Preston,"Logan, UT-ID",5/20/2024
-116.116255,45.931274,16,49,2,88502,4,WGS84,Acceptable PM2.5 AQI & Speciation Mass,1 HOUR,,Observed Values,Met-One BAM-1020 W/PM2.5 SCC - Beta Attenuation,2023,Micrograms/cubic meter (LC),Events Included,8584,98,Y,357,365,11,176,,,Certification not required,0,7.181267,6.571858,91,9/1/2023 17:00,76,8/22/2023 19:00,75,8/22/2023 18:00,70,8/22/2023 23:00,,,,,33,26,19,14,9,6,1,Grangeville,"USFS COMPOUND, EAST EDGE OF GRANGEVILLE",Idaho,Idaho,Grangeville,,5/20/2024
-116.116255,45.931274,16,49,2,88502,4,WGS84,Acceptable PM2.5 AQI & Speciation Mass,1 HOUR,,Observed Values,Met-One BAM-1020 W/PM2.5 SCC - Beta Attenuation,2023,Micrograms/cubic meter (LC),Events Excluded,8573,98,Y,357,365,0,176,,,Certification not required,0,7.172868,6.568653,91,9/1/2023 17:00,76,8/22/2023 19:00,75,8/22/2023 18:00,70,8/22/2023 23:00,,,,,33,26,19,14,9,6,1,Grangeville,"USFS COMPOUND, EAST EDGE OF GRANGEVILLE",Idaho,Idaho,Grangeville,,5/20/2024
-116.116255,45.931274,16,49,2,88502,4,WGS84,Acceptable PM2.5 AQI & Speciation Mass,1 HOUR,,Observed Values,Met-One BAM-1020 W/PM2.5 SCC - Beta Attenuation,2023,Micrograms/cubic meter (LC),Concurred Events Excluded,8584,98,Y,357,365,11,176,,,Certification not required,0,7.181267,6.571858,91,9/1/2023 17:00,76,8/22/2023 19:00,75,8/22/2023 18:00,70,8/22/2023 23:00,,,,,33,26,19,14,9,6,1,Grangeville,"USFS COMPOUND, EAST EDGE OF GRANGEVILLE",Idaho,Idaho,Grangeville,,5/20/2024
-116.0275,46.2094,16,49,3,88502,1,WGS84,Acceptable PM2.5 AQI & Speciation Mass,1 HOUR,,Observed Values,Met-one BAM-1022 W/PM2.5 SCC - Beta Attenuation,2023,Micrograms/cubic meter (LC),No Events,7900,90,Y,330,365,0,860,,,Certification not required,0,6.945823,7.309923,61,1/6/2023 6:00,56,2/4/2023 10:00,53,12/17/2023 16:00,51,1/6/2023 8:00,,,,,32,27,20,16,10,6,-1,Kamiah,"INTERSECTION OF APPLE AND PINE, KAMIAH",Idaho,Idaho,,,5/20/2024
